,GeoFIPS,GeoName,county_name,state_alpha,year,GDP_PI
84,2164,"Lake and Peninsula Borough, AK",Lake and Peninsula Borough,AK,2001,36209.0
85,2170,"Matanuska-Susitna Borough, AK",Matanuska-Susitna Borough,AK,2001,851532.0
86,2180,"Nome Census Area, AK",Nome Census Area,AK,2001,137541.0
87,2185,"North Slope Borough, AK",North Slope Borough,AK,2001,3514202.0
88,2188,"Northwest Arctic Borough, AK",Northwest Arctic Borough,AK,2001,247378.0
89,2195,"Petersburg Borough, AK*",Petersburg Borough,AK*,2001,
90,2198,"Prince of Wales-Hyder Census Area, AK*",Prince of Wales-Hyder Census Area,AK*,2001,
91,2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",Prince of Wales-Outer Ketchikan Census Area,AK*,2001,83512.0
92,2220,"Sitka City and Borough, AK",Sitka City and Borough,AK,2001,221581.0
93,2230,"Skagway Municipality, AK*",Skagway Municipality,AK*,2001,
94,2232,"Skagway-Hoonah-Angoon Census Area, AK*",Skagway-Hoonah-Angoon Census Area,AK*,2001,79381.0
95,2240,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,AK,2001,201632.0
96,2261,"Valdez-Cordova Census Area, AK*",Valdez-Cordova Census Area,AK*,2001,329804.0
97,2275,"Wrangell City and Borough, AK*",Wrangell City and Borough,AK*,2001,
98,2280,"Wrangell-Petersburg Census Area, AK*",Wrangell-Petersburg Census Area,AK*,2001,179875.0
99,2282,"Yakutat City and Borough, AK*",Yakutat City and Borough,AK*,2001,15234.0
100,2290,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,AK,2001,202148.0
101,4001,"Apache, AZ",Apache,AZ,2001,890891.0
102,4003,"Cochise, AZ",Cochise,AZ,2001,1541922.0
103,4005,"Coconino, AZ",Coconino,AZ,2001,2909461.0
104,4007,"Gila, AZ",Gila,AZ,2001,745307.0
105,4009,"Graham, AZ",Graham,AZ,2001,268482.0
106,4011,"Greenlee, AZ",Greenlee,AZ,2001,405701.0
107,4012,"La Paz, AZ",La Paz,AZ,2001,278831.0
108,4013,"Maricopa, AZ",Maricopa,AZ,2001,110016795.0
109,4015,"Mohave, AZ",Mohave,AZ,2001,2520000.0
110,4017,"Navajo, AZ",Navajo,AZ,2001,1446018.0
111,4019,"Pima, AZ",Pima,AZ,2001,20495384.0
112,4021,"Pinal, AZ",Pinal,AZ,2001,2317595.0
113,4023,"Santa Cruz, AZ",Santa Cruz,AZ,2001,746249.0
114,4025,"Yavapai, AZ",Yavapai,AZ,2001,2913081.0
115,4027,"Yuma, AZ",Yuma,AZ,2001,2652590.0
116,5001,"Arkansas, AR",Arkansas,AR,2001,510586.0
117,5003,"Ashley, AR",Ashley,AR,2001,564641.0
118,5005,"Baxter, AR",Baxter,AR,2001,714308.0
119,5007,"Benton, AR",Benton,AR,2001,5043443.0
120,5009,"Boone, AR",Boone,AR,2001,693304.0
121,5011,"Bradley, AR",Bradley,AR,2001,175910.0
122,5013,"Calhoun, AR",Calhoun,AR,2001,215932.0
123,5015,"Carroll, AR",Carroll,AR,2001,483865.0
124,5017,"Chicot, AR",Chicot,AR,2001,164210.0
125,5019,"Clark, AR",Clark,AR,2001,460095.0
126,5021,"Clay, AR",Clay,AR,2001,249357.0
127,5023,"Cleburne, AR",Cleburne,AR,2001,356511.0
128,5025,"Cleveland, AR",Cleveland,AR,2001,71710.0
129,5027,"Columbia, AR",Columbia,AR,2001,453938.0
130,5029,"Conway, AR",Conway,AR,2001,367846.0
131,5031,"Craighead, AR",Craighead,AR,2001,1924598.0
132,5033,"Crawford, AR",Crawford,AR,2001,905109.0
133,5035,"Crittenden, AR",Crittenden,AR,2001,1000325.0
134,5037,"Cross, AR",Cross,AR,2001,274698.0
135,5039,"Dallas, AR",Dallas,AR,2001,136341.0
136,5041,"Desha, AR",Desha,AR,2001,272885.0
137,5043,"Drew, AR",Drew,AR,2001,270660.0
138,5045,"Faulkner, AR",Faulkner,AR,2001,1659000.0
139,5047,"Franklin, AR",Franklin,AR,2001,260828.0
140,5049,"Fulton, AR",Fulton,AR,2001,88384.0
141,5051,"Garland, AR",Garland,AR,2001,1741884.0
142,5053,"Grant, AR",Grant,AR,2001,171230.0
143,5055,"Greene, AR",Greene,AR,2001,728455.0
144,5057,"Hempstead, AR",Hempstead,AR,2001,457251.0
145,5059,"Hot Spring, AR",Hot Spring,AR,2001,432366.0
146,5061,"Howard, AR",Howard,AR,2001,403636.0
