,GeoFIPS,GeoName,county_name,state_alpha,GDP_PI_2001,GDP_PI_2002,GDP_PI_2003,GDP_PI_2004,GDP_PI_2005,GDP_PI_2006,GDP_PI_2007,GDP_PI_2008,GDP_PI_2009,GDP_PI_2010,GDP_PI_2011,GDP_PI_2012,GDP_PI_2013,GDP_PI_2014,GDP_PI_2015,GDP_PI_2016,GDP_PI_2017,GDP_PI_2018,GDP_PI_2019,GDP_PI_2020,GDP_PI_2021,GDP_PI_2022,GDP_PI_2023,GDP_PI_2024
44,1089,"Madison, AL",Madison,AL,8767357,9196089,9843527,10883912,11719547,12345408,12948216,13476081,13880162,14512254,14589341,14905042,15533347,15824257,16511642,17250953,18175506,19450491,20906457,21500337,23066991,25822664,28750840,30580674
45,1091,"Marengo, AL",Marengo,AL,410909,417134,418902,466680,506470,530799,518741,488075,521897,528155,511987,544889,578396,615110,599522,614098,613938,663857,691545,717038,791341,835557,904530,968171
46,1093,"Marion, AL",Marion,AL,533438,546822,546095,645027,713653,729156,694633,631675,632548,635224,619921,689831,711950,720400,752242,741833,759952,789454,779647,802113,953439,1107391,1137264,1158724
47,1095,"Marshall, AL",Marshall,AL,1741654,1763172,1833263,2045889,2118478,2142098,2216536,2150593,2112638,2156646,2233365,2402245,2621480,2582196,2821117,2839866,3005747,3135916,3245171,3250154,3651619,4094684,4365377,4610152
48,1097,"Mobile, AL",Mobile,AL,9767751,9901284,10321110,10939590,11916104,13316513,13607247,14158938,14018735,14375357,15186056,15422270,15820716,16182737,16336855,16750042,17312813,18277654,18851464,18895004,21825685,23884417,25628104,26618382
49,1099,"Monroe, AL",Monroe,AL,572409,547333,561190,650061,706098,759216,698285,674164,624173,623752,568503,547782,585964,575715,583740,590413,623300,619041,597837,580912,646196,691601,711386,736519
50,1101,"Montgomery, AL",Montgomery,AL,6377959,6621715,6934859,7475498,8104191,8506670,8609713,8507687,8134456,8379752,8527933,8836295,9142533,9246665,9792293,10253689,10378466,10541109,10874722,10627293,11497810,12749416,14041575,14838586
51,1103,"Morgan, AL",Morgan,AL,2871416,2863160,3087201,3527796,3622211,3888398,3998336,3963748,3806676,3933751,3875421,4004729,4199931,4478026,4572686,4779393,4978543,5222114,5275484,5444982,6045458,6829240,7261579,7619116
52,1105,"Perry, AL",Perry,AL,110859,109724,124926,131578,149480,152601,149649,163053,150305,171583,162434,170206,185052,163228,158024,165717,171209,169471,171398,175732,176700,185297,211116,218134
53,1107,"Pickens, AL",Pickens,AL,231756,226520,238976,274287,294873,259454,274170,253251,270924,277429,244127,299464,348652,345188,327180,314438,345467,344751,355585,362246,412153,411788,422863,440504
54,1109,"Pike, AL",Pike,AL,553507,589989,634406,729922,776783,817005,859340,902514,865926,953827,911670,947064,964873,1033580,1064153,1108150,1142474,1179714,1206340,1189518,1472608,1613329,1662092,1751812
55,1111,"Randolph, AL",Randolph,AL,261485,282080,282802,337493,336897,334178,337897,315586,295577,318320,275965,314274,389757,409267,416757,393277,400592,423547,415488,407248,489168,552993,560880,591226
56,1113,"Russell, AL",Russell,AL,762345,741112,715989,791872,825410,898524,885993,893677,967042,1029358,1027292,1053838,1126040,1162254,1155059,1220017,1278715,1312897,1345883,1374361,1542989,1746803,1881971,2036733
57,1115,"St. Clair, AL",St. Clair,AL,829214,888329,927224,1027222,1097065,1115077,1149914,1177666,1132989,1217221,1284414,1542845,1565446,1612000,1711780,1748316,1778360,1883188,1955866,1868764,2057643,2233698,2586916,2809450
58,1117,"Shelby, AL",Shelby,AL,3983520,4266707,4636960,5133330,6076953,6659982,7483440,7545306,7278257,7442023,7729401,8010352,8578709,9068585,9938614,10269249,10877158,11385523,11967886,12265663,13576663,15033553,15775800,16332947
59,1119,"Sumter, AL",Sumter,AL,171174,171658,178377,191623,207688,205436,213746,183072,197825,216365,231913,251344,262928,265752,240506,241100,233066,234347,238478,249416,265977,293043,319182,349698
60,1121,"Talladega, AL",Talladega,AL,1510306,1650173,1839521,2163178,2349649,2394049,2336912,2179354,1785980,2036269,2115080,2319183,2457882,2494412,2624441,2713906,2800367,2873897,2886439,2754354,2919750,3225772,3528609,4010111
61,1123,"Tallapoosa, AL",Tallapoosa,AL,681256,640732,703917,818274,917783,808329,818204,793318,745145,863295,927098,993692,983174,1032274,1121730,1202868,1148252,1201678,1296966,1236881,1370211,1482946,1615559,1719921
62,1125,"Tuscaloosa, AL",Tuscaloosa,AL,4164811,4467652,5056396,5723938,6435602,6603869,7116501,7052884,6008360,6558801,7828690,7575406,7588936,7359156,7230391,7395869,8086277,8526311,9059564,8260240,9147908,10286785,11210712,11579476
63,1127,"Walker, AL",Walker,AL,1063052,1080872,1182182,1295660,1412076,1441062,1447321,1544099,1566067,1670482,1623383,1549934,1550646,1605795,1624210,1683878,1744176,1801308,1668765,1569552,1657359,1929725,2116501,2277336
64,1129,"Washington, AL",Washington,AL,516997,442037,470122,529608,500968,578806,647814,618582,677849,757497,713672,679587,727059,795144,714226,758839,769395,797611,802667,808402,924708,1022323,1093596,1225778
