,state_code,county_code,county_sub_code,cntyname,town_name,hud_areaname,fips,rent_50_0,rent_50_1,rent_50_2,rent_50_3,rent_50_4,hud_area_code,pop2023,state_alpha,year,population,cbsasub21,county,cousub,pop2017,hu2017,cbsasub20,cbsasub19,pop2010,hu2010,cbsasub18,areaname18,cbsasub,pop,fmr_area,msa,stco,fmrtype,statename,fmrarea,id_agis2,pop2020,areaname22,cbsasub22
1254,36,81,99999,Queens County,,"New York, NY HUD Metro FMR Area",3608199999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,2360826.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1255,36,85,99999,Richmond County,,"New York, NY HUD Metro FMR Area",3608599999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,492925.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1256,36,87,99999,Rockland County,,"New York, NY HUD Metro FMR Area",3608799999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,337326.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1257,36,119,99999,Westchester County,,"New York, NY HUD Metro FMR Area",3611999999,2777.0,2916.0,3196.0,4002.0,4348.0,METRO35620MM5600,997904.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1573,36,51,99999,Livingston County,,"Rochester, NY MSA",3605199999,1192.0,1341.0,1680.0,2024.0,2224.0,METRO40380M40380,61980.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1574,36,55,99999,Monroe County,,"Rochester, NY MSA",3605599999,1192.0,1341.0,1680.0,2024.0,2224.0,METRO40380M40380,756406.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1575,36,69,99999,Ontario County,,"Rochester, NY MSA",3606999999,1192.0,1341.0,1680.0,2024.0,2224.0,METRO40380M40380,112288.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1576,36,73,99999,Orleans County,,"Rochester, NY MSA",3607399999,1192.0,1341.0,1680.0,2024.0,2224.0,METRO40380M40380,40148.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1577,36,117,99999,Wayne County,,"Rochester, NY MSA",3611799999,1192.0,1341.0,1680.0,2024.0,2224.0,METRO40380M40380,91324.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1752,36,53,99999,Madison County,,"Syracuse, NY MSA",3605399999,1065.0,1202.0,1490.0,1810.0,1979.0,METRO45060M45060,68020.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1753,36,67,99999,Onondaga County,,"Syracuse, NY MSA",3606799999,1065.0,1202.0,1490.0,1810.0,1979.0,METRO45060M45060,472637.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1754,36,75,99999,Oswego County,,"Syracuse, NY MSA",3607599999,1065.0,1202.0,1490.0,1810.0,1979.0,METRO45060M45060,118037.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1799,36,43,99999,Herkimer County,,"Utica-Rome, NY MSA",3604399999,958.0,986.0,1249.0,1498.0,1729.0,METRO46540M46540,60293.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1800,36,65,99999,Oneida County,,"Utica-Rome, NY MSA",3606599999,958.0,986.0,1249.0,1498.0,1729.0,METRO46540M46540,231055.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
1879,36,45,99999,Jefferson County,,"Watertown-Fort Drum, NY MSA",3604599999,1049.0,1159.0,1521.0,2064.0,2534.0,METRO48060M48060,117445.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3752,36,3,99999,Allegany County,,"Allegany County, NY",3600399999,791.0,795.0,1027.0,1311.0,1543.0,NCNTY36003N36003,47222.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3753,36,9,99999,Cattaraugus County,,"Cattaraugus County, NY",3600999999,834.0,840.0,1080.0,1322.0,1522.0,NCNTY36009N36009,77000.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3754,36,11,99999,Cayuga County,,"Cayuga County, NY",3601199999,936.0,942.0,1190.0,1549.0,1778.0,NCNTY36011N36011,76171.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3755,36,13,99999,Chautauqua County,,"Chautauqua County, NY",3601399999,723.0,801.0,1037.0,1369.0,1373.0,NCNTY36013N36013,127440.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3756,36,17,99999,Chenango County,,"Chenango County, NY",3601799999,909.0,917.0,1044.0,1452.0,1590.0,NCNTY36017N36017,47096.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3757,36,19,99999,Clinton County,,"Clinton County, NY",3601999999,1053.0,1060.0,1348.0,1616.0,1785.0,NCNTY36019N36019,79839.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3758,36,21,99999,Columbia County,,"Columbia County, NY",3602199999,1348.0,1363.0,1548.0,1867.0,2050.0,NCNTY36021N36021,61469.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3759,36,23,99999,Cortland County,,"Cortland County, NY",3602399999,1016.0,1022.0,1275.0,1608.0,2139.0,NCNTY36023N36023,46755.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3760,36,25,99999,Delaware County,,"Delaware County, NY",3602599999,886.0,963.0,1125.0,1565.0,1623.0,NCNTY36025N36025,44637.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3761,36,31,99999,Essex County,,"Essex County, NY",3603199999,945.0,957.0,1256.0,1542.0,1743.0,NCNTY36031N36031,37314.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3762,36,33,99999,Franklin County,,"Franklin County, NY",3603399999,753.0,901.0,1092.0,1358.0,1557.0,NCNTY36033N36033,47459.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3763,36,35,99999,Fulton County,,"Fulton County, NY",3603599999,857.0,863.0,1132.0,1357.0,1528.0,NCNTY36035N36035,53280.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3764,36,37,99999,Genesee County,,"Genesee County, NY",3603799999,847.0,1002.0,1229.0,1474.0,1627.0,NCNTY36037N36037,58204.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3765,36,39,99999,Greene County,,"Greene County, NY",3603999999,1121.0,1243.0,1526.0,2015.0,2306.0,NCNTY36039N36039,48067.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3766,36,41,99999,Hamilton County,,"Hamilton County, NY",3604199999,1131.0,1146.0,1504.0,1803.0,1991.0,NCNTY36041N36041,5090.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3767,36,49,99999,Lewis County,,"Lewis County, NY",3604999999,800.0,885.0,1063.0,1478.0,1735.0,NCNTY36049N36049,26690.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3768,36,57,99999,Montgomery County,,"Montgomery County, NY",3605799999,954.0,961.0,1179.0,1477.0,1588.0,NCNTY36057N36057,49624.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3769,36,77,99999,Otsego County,,"Otsego County, NY",3607799999,908.0,1035.0,1317.0,1579.0,1744.0,NCNTY36077N36077,59678.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3770,36,89,99999,St. Lawrence County,,"St. Lawrence County, NY",3608999999,783.0,862.0,1131.0,1356.0,1497.0,NCNTY36089N36089,108670.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3771,36,97,99999,Schuyler County,,"Schuyler County, NY",3609799999,876.0,969.0,1271.0,1669.0,1683.0,NCNTY36097N36097,17855.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
3772,36,99,99999,Seneca County,,"Seneca County, NY",3609999999,904.0,947.0,1202.0,1594.0,2016.0,NCNTY36099N36099,33651.0,NY,2026,,,,,,,,,,,,,,,,,,,,,,,,
