SQGDP2 Gross domestic product (GDP) by state 1
SQGDP2 Gross domestic product (GDP) by state 1
State or DC
GeoFIPS,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4,2025:Q1,2025:Q2,2025:Q3
12000,Florida,611185.8,619389.3,635543.4,639059.6,655765.0,664695.3,667932.2,681504.4,679779.2,688077.3,694769.5,691730.7,680117.2,677538.2,670855.7,656721.0,646890.4,638136.1,635444.3,642572.9,642542.7,649406.3,656165.5,661580.3,654497.5,660650.3,663789.6,668386.0,676649.6,679184.9,689535.1,691246.7,706299.6,709833.0,721889.7,732345.9,734499.7,749372.5,764637.6,776685.5,791151.8,807252.3,821572.0,831139.7,836237.0,848095.1,862961.0,874267.6,885960.0,894676.5,903614.0,924178.6,942927.5,952057.8,967969.7,976526.9,997698.6,1011540.0,1029676.8,1042911.0,1035078.1,950398.8,1046202.2,1058435.0,1097203.9,1152745.1,1191330.4,1248297.9,1272024.7,1315639.9,1358731.9,1397562.7,1441375.4,1461753.1,1491221.4,1520344.9,1537296.6,1555250.0,1585239.9,1605199.5,1629956.6,1659769.3,1688817.8
13000,Georgia,334622.3,337837.7,340969.3,346834.5,348214.8,352509.5,356863.0,362135.9,364634.3,365654.3,366782.1,367840.0,361204.2,364532.0,365563.5,356700.6,352849.2,352893.3,352488.3,354599.2,353762.3,357428.3,361957.0,368886.2,368333.8,371490.8,376323.2,379241.5,383961.8,388481.7,392831.9,393923.6,402730.9,404211.2,409020.4,415647.2,420011.7,429762.0,437644.7,441535.6,451114.1,460128.4,465518.7,470007.7,481952.3,487638.9,493273.9,499495.2,507937.7,510900.4,517865.9,529817.9,531615.0,539819.5,548817.9,554374.1,562333.7,572365.3,581561.7,585668.2,576408.0,526018.3,574516.5,583040.7,598789.6,617487.3,636436.9,662791.0,676078.2,699932.1,716854.0,734256.0,735006.5,746196.2,758161.0,766690.0,776226.8,787721.2,796040.0,805242.2,808848.9,821576.4,840451.8
15000,Hawaii,43827.9,44721.2,45695.0,46550.8,46911.5,47769.0,48574.8,49102.8,49539.4,50128.0,51359.3,51957.6,51586.9,51969.3,51309.9,50677.3,50099.1,49840.9,49543.8,50009.3,50428.3,51173.7,52172.0,52689.8,52332.6,52637.2,53100.6,54005.6,54626.5,55441.2,55978.6,56114.6,57893.9,57859.8,58617.1,59230.9,58670.1,59763.2,60804.2,61342.7,62769.5,63794.8,64475.3,65245.7,65267.5,66053.3,66576.2,66980.0,68193.1,68720.1,69591.3,70274.6,71616.9,72876.0,72897.0,73392.6,73958.1,74166.6,75289.6,75707.0,72952.0,60706.2,63780.6,66138.2,68258.8,73001.0,76853.9,78200.4,80433.0,82695.2,85440.5,87448.9,88674.8,90025.6,90712.4,92264.1,92830.4,94319.9,95457.2,96637.7,97727.2,98986.1,100751.9
16000,Idaho,40962.8,41755.6,42500.8,42311.7,43492.2,43885.6,43563.3,44266.1,45162.2,45576.4,46292.6,47568.7,47427.7,48734.6,49112.6,48063.2,47147.5,45859.4,46394.7,46634.6,47456.0,47504.1,48334.0,49091.6,49076.7,49302.4,49500.3,49925.1,49338.5,49658.3,50088.1,49860.2,51786.7,52874.8,53858.5,54769.1,54983.1,55805.9,56289.4,56810.4,57087.0,56914.8,57226.4,57004.0,58762.1,59856.0,60486.9,60431.1,61652.5,62563.8,63621.7,64852.9,67782.4,68623.6,69187.0,70045.5,71539.7,72794.0,74624.9,75935.0,76288.3,70503.2,79432.1,81572.9,84291.1,86454.6,88490.5,93710.0,96161.5,99000.3,101654.9,104642.0,105713.0,106131.7,108117.6,109595.6,111131.3,114488.8,116821.0,118932.3,118850.5,120418.6,122623.7
17000,Illinois,519021.5,522789.5,530294.4,533853.8,550766.7,556434.4,560258.7,568662.9,574228.3,580917.8,584983.7,590460.0,580569.9,583111.3,585244.8,573877.5,571522.3,571175.3,573876.1,582135.2,575121.4,584994.8,595643.8,601279.1,605739.0,615723.2,620027.0,628568.0,647678.9,651459.0,652603.2,650688.7,659485.8,658430.9,664822.9,678276.4,674206.5,690744.0,703418.8,706476.9,712097.3,720836.1,731330.4,728563.6,727624.6,732810.5,733167.2,742886.7,740545.0,746678.0,754840.2,762331.5,776284.1,783567.1,792025.3,798870.1,799174.8,807348.4,817730.2,815272.2,795872.6,723820.6,785144.4,792649.2,821069.3,848520.2,866747.7,893916.8,919173.2,938604.1,951815.3,972699.7,986386.2,995543.1,1010526.8,1019837.2,1027805.8,1040865.7,1048657.3,1055913.8,1060277.8,1082114.5,1106470.2
18000,Indiana,220656.0,222558.1,225185.5,225248.3,227575.0,229177.1,231408.7,234782.6,238984.9,246744.1,250759.8,253733.0,253122.4,252996.5,251388.7,245221.5,235630.5,233314.9,235748.3,244008.2,249625.7,255303.0,260359.9,261458.4,261949.2,262524.2,264294.3,268361.1,270541.9,274057.1,275007.1,272749.1,284751.7,282135.8,286054.6,288979.0,291509.3,298659.7,303194.4,301721.2,299750.0,302469.6,301967.8,303264.2,303945.5,308572.9,312597.0,316561.0,318743.4,321155.0,324350.9,330293.4,338486.0,340346.1,343018.3,344864.2,342800.6,347161.0,351130.0,353280.2,347649.0,310851.2,349328.2,355424.3,368155.9,382787.5,391679.5,407525.7,414120.7,426813.2,433178.3,439353.1,445914.5,449771.5,460346.1,465003.6,470788.9,471986.9,476948.7,481714.6,487380.5,493527.4,505357.3
19000,Iowa,108323.6,108772.3,109994.2,108894.6,111196.2,112870.2,112945.2,115575.1,119796.3,122775.8,123194.9,124120.6,123754.9,123004.8,121577.1,119076.0,117706.8,118559.2,120727.8,123813.6,122455.1,124739.1,125601.0,127327.9,128607.3,129871.4,131766.9,135617.3,138869.8,141702.1,141689.7,139827.9,143321.0,141856.1,144039.0,145647.7,147340.9,154825.3,157069.0,157364.1,158858.7,160202.5,162464.8,163023.0,161428.8,161769.6,164134.0,163580.8,165993.1,165181.1,163808.8,167223.1,171320.1,172040.7,170724.5,168772.4,170695.6,171806.1,174936.2,176262.3,175277.4,165847.0,179737.6,183407.8,193896.8,202244.9,202877.5,206770.5,213928.2,218909.1,222525.8,223696.2,223365.7,223527.4,229902.9,232809.0,235313.7,238018.9,240028.4,241915.4,243196.7,245897.6,251818.8
20000,Kansas,89960.1,90326.7,91248.1,89863.0,96209.3,97411.7,97953.2,99678.7,104689.7,106128.9,106688.9,107957.1,110468.4,112439.5,112202.3,109094.5,107273.2,106717.1,107200.5,109235.2,106430.0,108665.5,111710.6,113816.8,114496.7,117395.7,118179.5,118747.3,125128.1,123509.4,119547.2,120136.6,123069.9,123907.9,125232.8,127711.0,124619.2,128816.6,132072.1,133842.1,130911.0,134959.5,136709.3,137817.2,137820.2,141055.6,142660.4,143543.5,144304.4,143755.8,145062.3,146421.1,148577.2,150568.4,152714.4,153570.6,150181.7,153384.1,154114.1,155294.1,157511.0,142220.5,154302.1,155509.8,154649.4,164211.6,168690.0,172492.2,183046.7,186283.2,191629.0,194666.1,198023.6,197520.9,200198.4,200304.1,199612.5,203468.5,203531.7,205919.7,205788.8,210379.1,216267.8
21000,Kentucky,121331.0,123772.4,126108.6,127304.8,129847.3,131616.7,131760.7,131789.7,131501.8,133640.1,134215.9,136469.3,135831.2,138002.5,136816.0,133815.9,131916.4,130497.3,132592.7,136210.9,135805.3,139732.1,142726.6,143322.4,142284.2,143793.2,145294.3,148794.2,150680.3,152159.9,152468.7,151402.4,158258.7,156614.0,157823.4,158463.0,157743.1,160972.6,162480.8,163012.2,163601.2,167309.7,168072.9,168734.6,166147.3,170119.9,172496.6,173194.8,173769.6,175174.5,176432.6,178696.1,179380.4,182080.4,182446.2,184189.2,187215.0,190218.3,192813.0,195573.1,193801.9,172748.1,194393.2,195471.1,201497.2,206096.8,209767.4,217362.2,220947.5,229998.8,234712.5,240136.0,245467.4,247572.8,253511.8,255297.7,257266.5,260022.7,262389.4,263642.0,263195.8,268205.9,274662.0
22000,Louisiana,170107.2,175498.4,178318.1,183558.4,183981.7,186026.2,185764.6,183939.1,179427.2,181875.4,182238.2,184525.9,186422.0,194113.4,195851.5,188402.2,181610.4,177528.7,179418.2,184478.2,193094.7,198794.5,203549.2,203995.5,200770.7,202871.4,202817.4,206723.1,210512.7,211671.9,208167.5,205939.8,205604.1,202858.6,204780.0,206912.7,207132.5,214756.0,218718.2,217298.6,210118.8,209071.2,207787.3,203370.4,198848.8,199759.7,200146.7,202909.4,207659.9,210008.7,213257.1,216952.2,224396.3,227336.8,228707.7,229723.4,228627.6,228163.6,228125.7,226756.0,213042.5,187765.2,203850.2,208849.0,222816.9,237990.7,247503.9,261268.6,262314.9,274534.1,276574.2,278171.4,281901.5,279639.8,286666.0,290663.8,290604.2,294233.0,295169.4,296514.3,297028.8,300796.3,307384.2
23000,Maine,39823.4,40195.2,40654.3,41319.5,41429.2,42114.7,42088.4,42624.6,42256.7,43229.2,43584.3,43717.3,43634.5,43736.2,43865.5,43299.6,43369.3,43600.3,44219.9,44741.9,44631.4,45102.9,45736.9,45536.0,45230.3,45449.1,45721.0,46610.1,46418.2,47145.4,46897.6,46179.9,47329.0,46935.0,47514.3,47889.4,47645.5,48250.8,49086.7,49822.7,49655.7,50590.5,51125.0,51756.0,51907.0,52747.4,52684.9,53450.2,53799.4,54046.4,54852.6,55761.4,56715.7,57496.5,58039.8,58134.9,59009.6,59979.1,61790.2,63000.4,63474.6,58859.6,64326.6,66139.3,67282.6,69163.8,70885.9,72139.6,74162.0,75684.4,76141.6,79041.4,80677.1,82186.4,84200.6,85155.9,86598.9,87095.7,88120.3,89169.8,88947.2,90321.2,92030.1
24000,Maryland,204691.3,207753.8,213792.9,215836.6,216440.9,218374.8,220544.2,222962.3,222227.6,225868.4,225861.3,228118.4,230952.5,233312.7,234006.9,232911.1,232728.0,233818.0,235693.2,239350.4,242414.9,246268.9,248854.5,253015.3,251344.1,254940.1,256565.4,259496.1,260954.2,260055.8,264124.2,262406.1,266101.2,265850.2,269089.9,272369.1,271234.8,277068.7,281637.1,280936.8,286890.7,289004.6,292260.3,295304.0,301114.4,306533.1,310594.9,314378.7,314130.9,316378.3,320300.1,324713.5,324075.9,327920.1,328580.3,330408.1,327246.0,332958.2,337351.2,339395.3,329940.0,303701.4,331477.8,333392.5,349126.3,349076.1,355544.3,366550.9,371923.8,380171.2,386173.6,392696.7,400736.7,405605.5,415172.4,418797.2,426844.4,429939.2,436630.7,439962.9,441912.9,448080.4,456456.0
